tracking_id	XH_1916	XH_1917	XH_1918	XH_1919	XH_1920	XH_1921	XH_1922	XH_1923	XH_1924
ENSMUSG00000027111	38.8939	36.0918	41.2339	47.0399	40.9355	42.2303	34.8416	41.1473	29.6375
ENSMUSG00000027115	14.5829	12.7634	14.8998	26.4961	21.8591	14.2515	18.0705	13.7244	15.3838
ENSMUSG00000027122	22.961	14.5502	15.3217	15.652	16.3522	13.9284	12.7018	13.4767	11.4125
ENSMUSG00000027130	6.97102	7.50719	6.21644	10.7171	7.98902	6.50789	7.1129	6.42488	7.33907
ENSMUSG00000027131	45.52	57.1643	51.6816	45.8575	42.6468	54.1817	55.8239	57.8305	62.3354
ENSMUSG00000027132	15.5761	12.3176	15.6615	20.484	20.219	13.1338	14.7489	12.4584	12.4642
ENSMUSG00000027133	104.497	87.159	76.9002	55.6719	54.5397	86.3124	82.8514	100.322	100.226
ENSMUSG00000027134	15.5132	16.9174	15.3738	11.8203	8.29966	14.2384	12.8074	15.4586	15.6246
ENSMUSG00000027160	8.87847	8.67714	9.59163	11.4585	14.5034	8.23042	9.63192	8.58777	9.9629
ENSMUSG00000027162	24.4016	21.8689	25.647	40.0417	38.2614	21.6579	29.2524	22.3726	24.0475
ENSMUSG00000027163	18.7612	21.7889	18.5013	25.7257	21.025	21.1775	19.799	18.7502	23.966
ENSMUSG00000027164	5.31024	4.26255	4.80786	5.46414	4.19923	4.63819	5.05046	4.82503	4.33846
ENSMUSG00000027165	12.6449	13.4782	13.6137	12.9514	14.8759	11.6699	15.8118	13.7357	15.1859
ENSMUSG00000027166	12.5013	14.7639	13.3662	14.0651	15.2854	14.0682	14.2702	13.0404	15.6266
ENSMUSG00000027167	8.94231	7.25991	9.62927	13.5032	14.2676	13.4312	12.4199	8.79761	9.56269
ENSMUSG00000027168	1.69544	2.44649	2.47429	4.10279	2.13869	2.09011	4.44416	3.23408	3.89405
ENSMUSG00000027170	216.289	209.161	206.325	195.273	197.879	209.405	217.597	200.294	197.875
ENSMUSG00000027171	4.77507	2.34486	3.36877	7.95329	5.94979	3.63699	5.03169	3.4646	4.11226
ENSMUSG00000027173	4.55519	5.22342	5.51865	4.91419	6.67243	6.23891	5.79895	5.89403	4.39902
ENSMUSG00000027175	2.85728	3.62068	2.80116	1.67259	5.97188	1.90582	2.38334	3.26573	3.27094
ENSMUSG00000027176	25.0117	31.114	37.6158	47.6557	43.5826	33.1473	35.2027	31.8075	31.399
ENSMUSG00000027177	3.56401	3.62741	3.51626	3.93503	3.4072	3.37084	4.24126	3.87563	3.45641
ENSMUSG00000027180	6.94835	6.21353	6.33637	6.67318	5.48853	7.25368	6.10075	6.77766	5.95261
ENSMUSG00000027184	226.098	207.029	220.541	242.565	283.081	230.325	240.527	225.582	235.676
ENSMUSG00000027185	66.9487	65.4135	62.4378	53.2423	52.3527	64.2683	56.7401	66.1213	64.402
ENSMUSG00000027187	36.0003	31.4214	30.9702	36.1639	38.1629	31.931	34.319	35.2167	37.1886
ENSMUSG00000027189	12.4265	9.65061	10.1735	8.54127	9.88777	17.4944	12.4726	13.5127	7.88055
