tracking_id	13_1	13_2	13_3	14_1	14_2	14_3
ENSMUSG00000000606	0.0152537	0	0	0	0.0407583	0	
ENSMUSG00000000617	0	0	0	0.0190191	0.0310341	0.0211332	
ENSMUSG00000000627	1.7095	0.585762	0.566191	1.77194	1.83489	1.53422	
ENSMUSG00000000628	3.51182	3.43446	3.73091	5.51608	6.26073	4.96118	
ENSMUSG00000000631	12.5096	11.7056	10.9276	6.99107	7.04754	6.36619	
ENSMUSG00000000632	0	0.0195348	0	0	0	0.102716	
ENSMUSG00000000673	0.0218259	0.0343091	0.481022	0.113664	0.911362	0.413918	
ENSMUSG00000000682	3.32107	2.09102	2.57496	0.209095	0.173026	0.223798	
ENSMUSG00000000686	0.272972	0.0960822	0.305086	0.892839	0.953729	0.588696	
ENSMUSG00000000690	1.24231	0.540678	0.797107	3.02331	3.55306	4.73536	
ENSMUSG00000000693	132.479	133.162	154.059	291.438	296.335	288.955	
ENSMUSG00000000701	0	0	0	0	0	0	
ENSMUSG00000000706	0.304796	0.133773	0.0993802	0.336626	0.14458	0.0814157	
ENSMUSG00000000708	1.63357	2.5543	2.05574	2.74008	1.44439	2.12944	
ENSMUSG00000000711	16.4066	16.2712	16.2206	21.1271	21.352	21.967	
ENSMUSG00000000724	0	0	0	0.0936066	0	0	
ENSMUSG00000000730	0.73882	0.0754832	0.0496006	0.312651	0.94208	0.219755	
ENSMUSG00000000731	0	0	0	0.0743397	0	0	
ENSMUSG00000000732	0.155644	0.228416	0.362865	0.434723	0.788026	0.427389	
ENSMUSG00000000738	76.4934	52.3381	39.7805	30.0782	20.9154	21.8512	
ENSMUSG00000000739	0.0479169	0	0.0601583	0.0319401	0.0485497	0.072758	
ENSMUSG00000000740	2629.45	3093.86	2969.65	677.006	988.36	994.26	
ENSMUSG00000000743	124.452	129.331	140.436	78.9042	85.9238	83.1898	
ENSMUSG00000000751	103.345	112.6	113.93	54.3371	50.0729	48.2153	
ENSMUSG00000000753	652.461	708.211	722.787	1002.72	1178.26	1139.49	
ENSMUSG00000000759	16.7944	15.8705	17.0966	16.1377	16.0223	20.4631	
ENSMUSG00000000766	0.303175	0.0648627	0	0.0703767	0.0793287	0.0541297	
ENSMUSG00000000776	10.438	10.8697	13.448	20.8671	22.8843	21.3818	
ENSMUSG00000000782	0.409765	0.653415	0.687291	0.545027	0.438697	0.405702	
ENSMUSG00000000787	24.4142	25.3436	30.4024	29.4141	29.1913	25.9251	
ENSMUSG00000000791	0.602596	1.12231	1.38624	0.180483	0.202439	0.319543	
ENSMUSG00000000792	0.152033	0.0720864	0.219019	0.0754183	0.0176943	0.0722406	
ENSMUSG00000000794	0.090962	0.073295	0.0774064	0.0876733	0.121566	0.269264	
ENSMUSG00000000804	2.37258	2.32397	2.56363	4.57341	3.71234	5.06001	
ENSMUSG00000000805	1.22152	0.604731	0.234349	0.144478	0	0	
ENSMUSG00000000811	10.7987	8.62383	8.70389	5.84273	4.72066	4.92263	
ENSMUSG00000000817	0.0186727	0	0	0	0	0	
ENSMUSG00000000823	0.774905	1.77419	0.843073	3.19009	3.50779	3.442	
ENSMUSG00000000826	36.8084	34.9195	43.9313	49.2449	46.3963	40.2589	
ENSMUSG00000000827	127.902	132.964	143.731	82.2551	93.518	86.6265	
ENSMUSG00000000838	10.8758	6.01719	6.04564	8.25859	6.78662	7.7371	
ENSMUSG00000000861	0.468943	0.504033	0.42784	0.280702	0.215782	0.450197	
