tracking_id	13_1	13_2	13_3	14_1	14_2	14_3
ENSMUSG00000021978	1.88035	2.37762	2.73895	3.79927	4.56588	3.41132
ENSMUSG00000021981	45.2629	48.3382	49.1147	26.7522	22.4529	27.2893
ENSMUSG00000021982	4.75288	5.58697	7.63596	12.522	13.092	7.54606
ENSMUSG00000021987	32.0949	37.8229	42.2728	44.1066	41.6037	36.5159
ENSMUSG00000021990	0.748748	1.20868	0.559265	6.35321	9.01142	4.60146
ENSMUSG00000021993	20.3162	17.648	16.0718	9.04688	7.01001	7.19858
ENSMUSG00000021994	8.40981	9.55462	10.7952	40.1315	36.1721	36.1985
ENSMUSG00000021996	1209.37	1351.24	1463.43	471.591	502.218	506.58
ENSMUSG00000021998	1.8876	1.55894	1.96409	0.397209	0.318535	0.348241
ENSMUSG00000022000	11.7484	11.9905	13.649	7.80733	9.73952	12.4466
ENSMUSG00000022003	2.85071	4.47306	3.63251	2.41619	3.03991	2.92269
ENSMUSG00000022008	5.26508	4.70993	4.86783	5.63776	6.04932	5.7232
ENSMUSG00000022009	5.49336	6.35926	5.25009	6.08991	6.68658	7.36196
ENSMUSG00000022010	36.3112	36.4927	39.6116	72.9987	66.4437	62.9208
ENSMUSG00000022012	2.0186	2.55222	2.30486	5.21875	3.69752	2.38132
ENSMUSG00000022013	49.017	47.9649	58.529	18.0573	20.2931	23.178
ENSMUSG00000022015	0.886146	0.389312	0.78329	2.30063	1.45374	2.07123
ENSMUSG00000022016	5.22799	3.17296	3.44631	9.1322	7.90685	7.30713
ENSMUSG00000022018	6.95731	5.08444	4.59294	14.4532	12.711	15.5774
ENSMUSG00000022019	7.06772	5.52489	6.55509	6.16719	6.9915	5.79352
ENSMUSG00000022020	9.40118	10.0157	10.3825	8.56943	8.81254	15.3828
ENSMUSG00000022021	11.274	8.92368	11.8421	7.39576	5.67382	5.56536
ENSMUSG00000022022	2.34195	5.0234	5.66755	4.04192	4.45537	3.55553
ENSMUSG00000022023	18.4172	19.8574	21.7001	15.4567	19.1451	20.7406
ENSMUSG00000022024	74.522	81.4297	88.5059	58.6438	57.3834	53.8857
ENSMUSG00000022031	42.0096	39.1342	47.5123	32.5435	31.7049	33.1218
ENSMUSG00000022032	8.46299	10.0247	10.9999	4.4088	4.69694	4.88795
ENSMUSG00000022033	33.9292	31.9001	38.6535	22.0293	23.2739	23.1871
ENSMUSG00000022034	1.77224	1.41549	2.35315	2.43764	5.91212	4.8151
ENSMUSG00000022035	16.0957	17.9032	17.7937	13.8841	14.938	13.3234
ENSMUSG00000022037	16.3974	17.147	17.6111	5.70255	6.36348	6.40483
ENSMUSG00000022040	5.36023	6.69591	8.63404	5.21343	5.37989	6.00452
ENSMUSG00000022043	40.0461	45.2075	38.3838	100.765	94.3171	93.5633
ENSMUSG00000022044	1.23523	0.971752	0.916613	0.446589	0.232296	1.17857
ENSMUSG00000022048	35.1798	33.9969	37.5736	22.3216	26.678	28.7363
ENSMUSG00000022051	283.908	333.6	309.818	178.062	207.381	203.226
ENSMUSG00000022052	42.6215	46.0049	43.25	80.2857	65.9175	69.5469
ENSMUSG00000022053	0.271315	0.500839	0.560304	2.65384	2.69467	2.53709
ENSMUSG00000022054	3.49903	3.81654	3.16711	1.27689	1.15288	0.963076
ENSMUSG00000022055	22.8912	24.8671	23.6163	3.38025	4.11984	3.693
ENSMUSG00000022064	6.57957	5.97934	7.28142	8.69467	9.32923	9.18187
ENSMUSG00000022070	4.17189	5.71242	5.16505	8.51096	9.01802	7.78706
ENSMUSG00000022074	5.21945	5.41926	6.22818	8.50654	7.11266	8.55607
ENSMUSG00000022075	2.13586	1.70347	1.84146	1.30591	1.19449	1.10599
ENSMUSG00000022089	27.6442	26.4301	31.3425	21.32	19.6996	21.5542
ENSMUSG00000022090	72.0918	77.2407	69.6123	69.1906	72.9995	68.2396
ENSMUSG00000022091	12.8136	15.245	15.2065	23.4773	28.2178	28.269
ENSMUSG00000022092	8.95938	4.25074	2.58498	4.34857	2.08986	2.47561
ENSMUSG00000022094	1.52045	1.93918	1.9945	7.6019	6.60672	6.45772
ENSMUSG00000022095	4.6889	5.37284	5.12346	8.94005	7.68591	6.82057
ENSMUSG00000022098	39.0579	14.8563	10.6546	30.5031	20.1568	23.9973
ENSMUSG00000022099	2.70652	3.95108	2.82663	1.48029	2.03107	2.00756
ENSMUSG00000022100	23.0471	20.0301	22.2407	20.1473	18.209	17.1115
