tracking_id	15_1	15_2	15_3	16_1	16_2	16_3
ENSG00000183172	81.6681	94.6727	81.1056	76.6145	97.9198	90.4364
ENSG00000183196	2.28542	0.546898	0.578186	1.01331	0.441522	0.834204
ENSG00000183207	124.608	125.86	146.852	139.506	141.398	156.606
ENSG00000183208	1.83069	2.34612	0.889044	1.11562	0.530116	1.35515
ENSG00000183230	1.51738	0.859298	4.04978	2.44471	4.52095	3.60562
ENSG00000183239	0	0.370676	1.50253	1.06675	1.2922	1.09528
ENSG00000183242	1.7731	0.417441	0.370868	0.553097	1.04658	0.460742
ENSG00000183250	3.67319	4.21061	3.03747	3.84425	4.44554	5.27019
ENSG00000183255	185.694	195.4	209.326	203.986	205.3	214.659
ENSG00000183258	98.2383	103.557	118.015	111.736	109.687	117.12
ENSG00000183283	266.961	280.761	334.324	281.273	302.851	352.715
ENSG00000183291	169.142	191.864	175.228	183.79	193.628	197.301
ENSG00000183308	2.62284	1.63985	1.65343	1.5678	3.06	2.24013
ENSG00000183309	2.14815	2.76378	2.62452	2.94852	2.65933	2.71756
ENSG00000183323	1.03369	1.33015	0.104067	0.322128	1.31008	0.470971
ENSG00000183336	1.10235	1.57712	1.06365	1.27445	0.745066	0.700561
ENSG00000183337	9.82364	7.52636	8.45793	6.88563	7.82776	5.06601
ENSG00000183340	3.62358	4.3517	4.96509	4.54764	4.48115	5.47884
ENSG00000183346	5.83834	2.48942	4.55471	1.16622	2.4877	3.56236
ENSG00000183354	9.71611	8.34497	8.68095	7.39659	5.02095	7.39311
ENSG00000183386	20.5941	11.9084	9.08516	21.7817	10.7964	17.328
ENSG00000183395	2.25165	2.05884	2.18061	1.93112	2.99974	2.65299
ENSG00000183401	19.606	19.3789	21.369	20.0202	24.7187	28.5816
ENSG00000183426	11.0407	12.9903	16.8493	11.1645	12.302	10.8727
ENSG00000183431	105.087	114.836	124.072	120.372	125.529	134.962
ENSG00000183439	1.74161	1.71233	1.33526	2.81932	2.50996	3.35621
ENSG00000183444	5.35164	8.15862	9.5636	7.15207	8.99964	9.37846
ENSG00000183474	8.4501	11.6298	13.6511	12.9128	9.63291	10.878
ENSG00000183475	10.2879	11.6741	11.3584	13.5675	13.5855	12.3925
ENSG00000183486	1.43217	2.17481	1.71012	4.58687	2.71856	2.01892
ENSG00000183495	7.48273	7.67603	6.8352	6.81583	6.28103	5.84667
ENSG00000183496	2.34743	0.977543	1.14616	1.39638	0.871234	0.962024
ENSG00000183506	3.4775	1.93021	2.50894	2.21209	1.69123	2.01766
ENSG00000183513	36.9704	43.7271	44.2596	39.9598	48.3783	35.0152
ENSG00000183520	56.4223	57.3213	55.5406	59.6386	66.0498	67.6063
ENSG00000183527	72.7545	87.3072	79.5664	82.5127	77.5268	93.2375
ENSG00000183530	17.8661	19.4407	20.8142	12.7452	17.0201	17.9005
ENSG00000183569	1.39008	1.63041	1.90897	3.2658	1.93849	2.18692
ENSG00000183570	0.697228	0.255764	1.56214	0.728663	1.5261	1.22585
ENSG00000183576	31.2427	28.7246	29.4738	32.6083	29.2488	28.6771
ENSG00000183578	1.56686	1.61021	1.11669	0.650432	0.729141	0.432307
ENSG00000183579	1.07467	1.02228	0.897153	0.802956	0.865552	0.655094
ENSG00000183580	1.44245	1.11664	0.651558	1.35604	0.688775	0.924491
ENSG00000183597	14.2416	14.358	13.5351	13.8204	15.1927	15.4052
ENSG00000183604	2.52672	2.61587	2.70761	3.39639	2.66737	2.49281
ENSG00000183605	40.5327	42.4006	40.5088	39.9798	47.7401	42.1044
ENSG00000183615	5.32361	5.64224	5.9562	4.07833	6.33157	7.18146
ENSG00000183617	83.9548	89.8904	83.1746	78.3344	91.9497	90.3441
ENSG00000183621	4.63082	6.01611	5.01564	5.28681	4.45703	6.0126
